"Binomial.1.2","pre_domestic_name","Order.1.2","Family.1.2","IUCN.Status.1.2","Island.Endemicity","Mass.g","LogMassKg","guild","GuildSimple","Diet.Graminoids","Diet.Browse.Fruit","Diet.Meat_median","Fermentation.Type","Inferred.Fermentation.Type","Inferred.Fermentation.Efficiency","Foot.Type","Substrate.Aquatic","Substrate.Terrestrial","Substrate.Arboreal","Substrate.Cat"
"Bos_sauveli",NA,"Cetartiodactyla","Bovidae","CR","Occurs on mainland",8e+05,2.903089987,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Bos_taurus","Bos_primigenius","Cetartiodactyla","Bovidae","Post-domestic",NA,618642.42,2.791439696,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Boselaphus_tragocamelus",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",169000,2.227886705,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Bubalus_arnee",NA,"Cetartiodactyla","Bovidae","EN","Occurs on mainland",725000,2.860338007,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",1,1,0,"semi.aquatic"
"Bubalus_bubalis","Bubalus_arnee","Cetartiodactyla","Bovidae","Post-domestic",NA,725000,2.860338007,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",1,1,0,"semi.aquatic"
"Bubalus_depressicornis",NA,"Cetartiodactyla","Bovidae","EN","Occurs only on isolated islands",3e+05,2.477121255,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Bubalus_grovesi",NA,"Cetartiodactyla","Bovidae","EP","Occurs only on isolated islands",313443,2.496158575,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Bubalus_mindorensis",NA,"Cetartiodactyla","Bovidae","CR","Occurs only on isolated islands",233333.3,2.367976723,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Bubalus_palaeokerabau",NA,"Cetartiodactyla","Bovidae","EP","Occurs on large land bridge islands",1125940.4,3.051515402,"grazer","grazer",3,0,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Bubalus_quarlesi",NA,"Cetartiodactyla","Bovidae","EN","Occurs only on isolated islands",150000,2.176091259,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
