"Binomial.1.2","pre_domestic_name","Order.1.2","Family.1.2","IUCN.Status.1.2","Island.Endemicity","Mass.g","LogMassKg","guild","GuildSimple","Diet.Graminoids","Diet.Browse.Fruit","Diet.Meat_median","Fermentation.Type","Inferred.Fermentation.Type","Inferred.Fermentation.Efficiency","Foot.Type","Substrate.Aquatic","Substrate.Terrestrial","Substrate.Arboreal","Substrate.Cat"
"Oreamnos_harringtoni",NA,"Cetartiodactyla","Bovidae","EP","Occurs on mainland",75000,1.875061263,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Oreotragus_oreotragus",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",12999.9,1.113940012,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Oryx_beisa",NA,"Cetartiodactyla","Bovidae","NT","Occurs on mainland",170000,2.230448921,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Oryx_dammah",NA,"Cetartiodactyla","Bovidae","EW","Occurs on mainland",2e+05,2.301029996,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Oryx_gazella",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",169001.3,2.227890045,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Oryx_leucoryx",NA,"Cetartiodactyla","Bovidae","VU","Occurs on mainland",87700,1.942999593,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Ourebia_ourebi",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",17250,1.236789099,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Ovibos_moschatus",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",340501.1,2.532118519,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Ovis_ammon",NA,"Cetartiodactyla","Bovidae","NT","Occurs on mainland",180000,2.255272505,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Ovis_aries","Ovis_orientalis","Cetartiodactyla","Bovidae","Post-domestic",NA,39097,1.592143434,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Ovis_canadensis",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",74644.9,1.873000141,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Ovis_dalli",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",55650.6,1.745469851,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Ovis_nivicola",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",90000,1.954242509,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Ovis_orientalis",NA,"Cetartiodactyla","Bovidae","VU","Occurs on mainland",60000,1.77815125,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Pantholops_hodgsonii",NA,"Cetartiodactyla","Bovidae","NT","Occurs on mainland",27500,1.439332694,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Pelea_capreolus",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",20000,1.301029996,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Pelorovis_antiquus",NA,"Cetartiodactyla","Bovidae","EP","Occurs on mainland",1e+06,3,"grazer","grazer",3,0,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Philantomba_maxwellii",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",12000,1.079181246,"browser","browser",0,3,1,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Procapra_gutturosa",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",27750,1.443262987,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Procapra_picticaudata",NA,"Cetartiodactyla","Bovidae","NT","Occurs on mainland",20000,1.301029996,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Procapra_przewalskii",NA,"Cetartiodactyla","Bovidae","EN","Occurs on mainland",27500,1.439332694,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Pseudois_nayaur",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",45000,1.653212514,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Pseudoryx_nghetinhensis",NA,"Cetartiodactyla","Bovidae","CR","Occurs on mainland",85000,1.929418926,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Raphicerus_campestris",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",10500,1.021189299,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Raphicerus_melanotis",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",10249.9,1.010719628,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Redunca_arundinum",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",58000.3,1.76343024,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Redunca_fulvorufula",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",29499.9,1.469820544,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Redunca_redunca",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",44050.4,1.643949856,"grazer","grazer",3,0,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Rupicapra_pyrenaica",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",30000,1.477121255,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Rupicapra_rupicapra",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",26100,1.416640507,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Rusingoryx_atopocranion",NA,"Cetartiodactyla","Bovidae","EP","Occurs on mainland",150000,2.176091259,"grazer","grazer",3,0,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Saiga_tatarica",NA,"Cetartiodactyla","Bovidae","CR","Occurs on mainland",29000,1.462397998,"mixed feeder","mixed feeder",2,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Sivacobus_sankaliai",NA,"Cetartiodactyla","Bovidae","EP","Occurs on mainland",54918.8,1.739721039,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Soergelia_minor",NA,"Cetartiodactyla","Bovidae","EP","Occurs on mainland",73378.2,1.865567054,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Spirocerus_kiakhtensis",NA,"Cetartiodactyla","Bovidae","EP","Occurs on mainland",790678.6,2.897999985,"grazer","grazer",3,0,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Sylvicapra_grimmia",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",19499.8,1.290030157,"browser","browser",1,3,1,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Syncerus_caffer",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",580002.7,2.763430015,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Tetracerus_quadricornis",NA,"Cetartiodactyla","Bovidae","VU","Occurs on mainland",19000,1.278753601,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Tragelaphus_angasii",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",86600.4,1.937519898,"mixed feeder","mixed feeder",2,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Tragelaphus_buxtoni",NA,"Cetartiodactyla","Bovidae","EN","Occurs on mainland",215000.8,2.332440076,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Tragelaphus_derbianus",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",680000,2.832508913,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Tragelaphus_eurycerus",NA,"Cetartiodactyla","Bovidae","NT","Occurs on mainland",329003.1,2.51719999,"mixed feeder","mixed feeder",2,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Tragelaphus_imberbis",NA,"Cetartiodactyla","Bovidae","NT","Occurs on mainland",81575.5,1.911559744,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Tragelaphus_oryx",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",569993.6,2.755869979,"mixed feeder","mixed feeder",2,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Tragelaphus_scriptus",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",43250.4,1.635990128,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Tragelaphus_spekii",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",77999.2,1.892090148,"mixed feeder","mixed feeder",2,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",1,1,0,"semi.aquatic"
"Tragelaphus_strepsiceros",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",213501,2.329399914,"mixed feeder","mixed feeder",2,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Camelops_hesternus",NA,"Cetartiodactyla","Camelidae","EP","Occurs on mainland",1100000,3.041392685,"browser","browser",1,3,0,"Foregut Non_ruminating","Foregut Non_ruminating",2,"Digitigrade",0,1,0,"terrestrial"
"Camelus_dromedarius","Camelus_dromedarius","Cetartiodactyla","Camelidae","EP","Occurs on mainland",8e+05,2.903089987,"browser","browser",1,3,0,"Foregut Non_ruminating","Foregut Non_ruminating",2,"Digitigrade",0,1,0,"terrestrial"
"Camelus_ferus",NA,"Cetartiodactyla","Camelidae","CR","Occurs on mainland",690000,2.838849091,"mixed feeder","mixed feeder",3,3,0,"Foregut Non_ruminating","Foregut Non_ruminating",2,"Digitigrade",0,1,0,"terrestrial"
"Hemiauchenia_macrocephala",NA,"Cetartiodactyla","Camelidae","EP","Occurs on mainland",110000,2.041392685,"mixed feeder","mixed feeder",2,3,0,"Foregut Non_ruminating","Foregut Non_ruminating",2,"Digitigrade",0,1,0,"terrestrial"
"Hemiauchenia_paradoxa",NA,"Cetartiodactyla","Camelidae","EP","Occurs on mainland",1e+06,3,"grazer","grazer",3,1,0,"Foregut Non_ruminating","Foregut Non_ruminating",2,"Digitigrade",0,1,0,"terrestrial"
"Lama_guanicoe",NA,"Cetartiodactyla","Camelidae","LC","Occurs on mainland",120000,2.079181246,"mixed feeder","mixed feeder",3,3,0,"Foregut Non_ruminating","Foregut Non_ruminating",2,"Digitigrade",0,1,0,"terrestrial"
"Palaeolama_major",NA,"Cetartiodactyla","Camelidae","EP","Occurs on mainland",1089501.4,3.037227793,"browser","browser",0,3,0,"Foregut Non_ruminating","Foregut Non_ruminating",2,"Digitigrade",0,1,0,"terrestrial"
"Palaeolama_mirifica",NA,"Cetartiodactyla","Camelidae","EP","Occurs on mainland",80000,1.903089987,"browser","browser",1,3,0,"Foregut Non_ruminating","Foregut Non_ruminating",2,"Digitigrade",0,1,0,"terrestrial"
"Palaeolama_weddeli",NA,"Cetartiodactyla","Camelidae","EP","Occurs on mainland",1021897,3.009407124,"mixed feeder","mixed feeder",2,3,0,"Foregut Non_ruminating","Foregut Non_ruminating",2,"Digitigrade",0,1,0,"terrestrial"
"Vicugna_vicugna",NA,"Cetartiodactyla","Camelidae","LC","Occurs on mainland",47499.6,1.676689952,"mixed feeder","mixed feeder",3,2,0,"Foregut Non_ruminating","Foregut Non_ruminating",2,"Digitigrade",0,1,0,"terrestrial"
"Agalmaceros_blicki",NA,"Cetartiodactyla","Cervidae","EP","Occurs on mainland",60000,1.77815125,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Alces_alces",NA,"Cetartiodactyla","Cervidae","LC","Occurs on mainland",356998,2.552665783,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",1,1,0,"semi.aquatic"
"Antifer_ultra",NA,"Cetartiodactyla","Cervidae","EP","Occurs on mainland",86666.2,1.937849755,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Axis_axis",NA,"Cetartiodactyla","Cervidae","LC","Occurs on mainland",66172.8,1.820679512,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Axis_calamianensis",NA,"Cetartiodactyla","Cervidae","EN","Occurs only on isolated islands",40500,1.607455023,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Axis_kuhlii",NA,"Cetartiodactyla","Cervidae","CR","Occurs on large land bridge islands",55000,1.740362689,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Axis_porcinus",NA,"Cetartiodactyla","Cervidae","EN","Occurs on mainland",34127.8,1.533108293,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Blastocerus_dichotomus",NA,"Cetartiodactyla","Cervidae","VU","Occurs on mainland",86666.2,1.937849755,"mixed feeder","mixed feeder",2,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",1,1,0,"semi.aquatic"
"Candiacervus_cretensis",NA,"Cetartiodactyla","Cervidae","EP","Occurs only on isolated islands",79432.8,1.899999872,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Candiacervus_dorothensis",NA,"Cetartiodactyla","Cervidae","EP","Occurs only on isolated islands",538878.8,2.731491098,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Candiacervus_major",NA,"Cetartiodactyla","Cervidae","EP","Occurs only on isolated islands",708325.6,2.850232938,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Candiacervus_rethymnensis",NA,"Cetartiodactyla","Cervidae","EP","Occurs only on isolated islands",221490,2.345354123,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Candiacervus_ropalophorus",NA,"Cetartiodactyla","Cervidae","EP","Occurs only on isolated islands",29922.6,1.475999327,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Candiacervus_spII",NA,"Cetartiodactyla","Cervidae","EP","Occurs only on isolated islands",42589.4,1.629301522,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capreolus_capreolus",NA,"Cetartiodactyla","Cervidae","LC","Occurs on mainland",22500,1.352182518,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capreolus_miyakoensis",NA,"Cetartiodactyla","Cervidae","EP","Occurs only on isolated islands",24099.3,1.382004428,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capreolus_pygargus",NA,"Cetartiodactyla","Cervidae","LC","Occurs on mainland",43752.2,1.640999896,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Cervalces_scotti",NA,"Cetartiodactyla","Cervidae","EP","Occurs on mainland",632000,2.800717078,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",1,1,0,"semi.aquatic"
"Cervus_albirostris",NA,"Cetartiodactyla","Cervidae","VU","Occurs on mainland",125000,2.096910013,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Cervus_astylodon",NA,"Cetartiodactyla","Cervidae","EP","Occurs only on isolated islands",18492.7,1.267000324,"mixed feeder","mixed feeder",2,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Cervus_canadensis",NA,"Cetartiodactyla","Cervidae","LC","Occurs on mainland",131250,2.118099312,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Cervus_elaphus",NA,"Cetartiodactyla","Cervidae","LC","Occurs on mainland",131250,2.118099312,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Cervus_nippon",NA,"Cetartiodactyla","Cervidae","LC","Occurs on mainland",53000,1.72427587,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Dama_dama",NA,"Cetartiodactyla","Cervidae","LC","Occurs on mainland",56250,1.750122527,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Dama_mesopotamica",NA,"Cetartiodactyla","Cervidae","EN","Occurs on mainland",72500,1.860338007,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Dicroceros_spA",NA,"Cetartiodactyla","Cervidae","EP","Occurs only on isolated islands",11122.3,1.046194605,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Elaphodus_cephalophus",NA,"Cetartiodactyla","Cervidae","NT","Occurs on mainland",33500,1.525044807,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Elaphurus_davidianus",NA,"Cetartiodactyla","Cervidae","EW","Occurs on mainland",149000,2.173186268,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",1,1,0,"semi.aquatic"
"Haploidoceros_mediterraneus",NA,"Cetartiodactyla","Cervidae","EP","Occurs on mainland",78798.2,1.896516297,"mixed feeder","mixed feeder",2,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Hippocamelus_antisensis",NA,"Cetartiodactyla","Cervidae","VU","Occurs on mainland",68599.4,1.836320317,"mixed feeder","mixed feeder",2,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Hippocamelus_bisulcus",NA,"Cetartiodactyla","Cervidae","EN","Occurs on mainland",70000.3,1.845099901,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Hydropotes_inermis",NA,"Cetartiodactyla","Cervidae","VU","Occurs on mainland",14000,1.146128036,"mixed feeder","mixed feeder",2,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Mazama_americana",NA,"Cetartiodactyla","Cervidae","DD","Occurs on mainland",22799.7,1.357929133,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Mazama_bororo",NA,"Cetartiodactyla","Cervidae","VU","Occurs on mainland",25000,1.397940009,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Mazama_bricenii",NA,"Cetartiodactyla","Cervidae","VU","Occurs on mainland",16499.9,1.217481312,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Mazama_chunyi",NA,"Cetartiodactyla","Cervidae","VU","Occurs on mainland",16499.9,1.217481312,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Mazama_gouazoubira",NA,"Cetartiodactyla","Cervidae","LC","Occurs on mainland",16300.1,1.212190269,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Mazama_nana",NA,"Cetartiodactyla","Cervidae","VU","Occurs on mainland",16499.9,1.217481312,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Mazama_nemorivaga",NA,"Cetartiodactyla","Cervidae","LC","Occurs on mainland",15000,1.176091259,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Mazama_pandora",NA,"Cetartiodactyla","Cervidae","VU","Occurs on mainland",21000,1.322219295,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Mazama_rufina",NA,"Cetartiodactyla","Cervidae","VU","Occurs on mainland",25999.8,1.414970007,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Mazama_temama",NA,"Cetartiodactyla","Cervidae","DD","Occurs on mainland",25000,1.397940009,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Megaceroides_algericus",NA,"Cetartiodactyla","Cervidae","EP","Occurs on mainland",8e+05,2.903089987,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",1,1,0,"semi.aquatic"
"Megaloceros_giganteus",NA,"Cetartiodactyla","Cervidae","EP","Occurs on mainland",699842,2.845000002,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Morenelaphus_brachyceros",NA,"Cetartiodactyla","Cervidae","EP","Occurs on mainland",50000,1.698970004,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Morenelaphus_lujanensis",NA,"Cetartiodactyla","Cervidae","EP","Occurs on mainland",50000,1.698970004,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Muntiacus_atherodes",NA,"Cetartiodactyla","Cervidae","NT","Occurs on large land bridge islands",15600,1.193124598,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Muntiacus_crinifrons",NA,"Cetartiodactyla","Cervidae","VU","Occurs on mainland",36141,1.558000165,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Muntiacus_feae",NA,"Cetartiodactyla","Cervidae","DD","Occurs on mainland",22000,1.342422681,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Muntiacus_gongshanensis",NA,"Cetartiodactyla","Cervidae","DD","Occurs on mainland",19906.7,1.298999272,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Muntiacus_montanus",NA,"Cetartiodactyla","Cervidae","DD","Occurs on large land bridge islands",17535.3,1.2439132,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Muntiacus_muntjak",NA,"Cetartiodactyla","Cervidae","LC","Occurs on mainland",15925.8,1.202101257,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Muntiacus_putaoensis",NA,"Cetartiodactyla","Cervidae","DD","Occurs on mainland",12000,1.079181246,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Muntiacus_reevesi",NA,"Cetartiodactyla","Cervidae","LC","Occurs on mainland",13500,1.130333768,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Muntiacus_rooseveltorum",NA,"Cetartiodactyla","Cervidae","DD","Occurs on mainland",15000,1.176091259,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Muntiacus_truongsonensis",NA,"Cetartiodactyla","Cervidae","DD","Occurs on mainland",15000,1.176091259,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Muntiacus_vaginalis",NA,"Cetartiodactyla","Cervidae","LC","Occurs on mainland",18088.3,1.257397752,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Muntiacus_vuquangensis",NA,"Cetartiodactyla","Cervidae","CR","Occurs on mainland",34000,1.531478917,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Navahoceros_fricki",NA,"Cetartiodactyla","Cervidae","EP","Occurs on mainland",49318.1,1.693006337,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Odocoileus_hemionus",NA,"Cetartiodactyla","Cervidae","LC","Occurs on mainland",54212.6,1.734100236,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
