Binomial,Common.Name,Species.Status,Class,Order,Family,Water.Dependence,Water.Dependence.Method,Water.Dependence.Reliability,Water.Dependence.Notes,Water.Dependence.Reference,Scratch.Digging,Well.Digging,Burrowing,Rooting,Digging.Rooting.Methods,Digging.Rooting.Method.Reliability,Digging.Rooting.Notes,Digging.Rooting.Reference
Equus quagga,Plains Zebra,Extant,Mammalia,Perissodactyla,Equidae,High,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Equus zebra,Mountain Zebra,Extant,Mammalia,Perissodactyla,Equidae,High,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Hippidion devillei,,Extinct before 1500 CE,Mammalia,Perissodactyla,Equidae,,,,,,,,,,,,,
Hippidion principale,,Extinct before 1500 CE,Mammalia,Perissodactyla,Equidae,,,,,,,,,,,,,
Ceratotherium simum,White Rhinoceros,Extant,Mammalia,Perissodactyla,Rhinocerotidae,,,,,,,,,,,,,
Coelodonta antiquitatis,Wooly Rhinoceros,Extinct before 1500 CE,Mammalia,Perissodactyla,Rhinocerotidae,,,,,,,,,,,,,
Dicerorhinus sumatrensis,Sumatran Rhinoceros,Extant,Mammalia,Perissodactyla,Rhinocerotidae,High,Inferred from habitat affinities,2,Inferring free water dependence from habitat affinities,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,,,,,,,,
Diceros bicornis,Black Rhinoceros,Extant,Mammalia,Perissodactyla,Rhinocerotidae,High,Observed water usage,3,"This species is free water dependent, but can go up to 5 days without drinking water–if dispersing.",Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Elasmotherium sibiricum,Siberian unicorn,Extinct before 1500 CE,Mammalia,Perissodactyla,Rhinocerotidae,,,,,,,,,,,,,
Rhinoceros sondaicus,Javan Rhinoceros,Extant,Mammalia,Perissodactyla,Rhinocerotidae,High,Inferred from habitat affinities,2,Heavily utilize aquatic habitats. Water dependence appears to be a common trait for all rhinos.,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Rhinoceros unicornis,Greater One-horned Rhino,Extant,Mammalia,Perissodactyla,Rhinocerotidae,High,Inferred from habitat affinities,2,"Free water dependent, rarely venturing >2km from perennial water.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Stephanorhinus hemitoechus,,Extinct before 1500 CE,Mammalia,Perissodactyla,Rhinocerotidae,,,,,,,,,,,,,
Stephanorhinus kirchbergensis,,Extinct before 1500 CE,Mammalia,Perissodactyla,Rhinocerotidae,,,,,,,,,,,,,
Tapirus augustus,Giant Tapir,Extinct before 1500 CE,Mammalia,Perissodactyla,Tapiridae,High,Inferred from Genus; Inferred from habitat association,1,"No empirical evidence, but given the aquatic tendencies of this genus, going to score as free water dependent.",NA,,,,,,,,
Tapirus bairdii,Baird's Tapir,Extant,Mammalia,Perissodactyla,Tapiridae,High,Inferred from habitat affinities,2,Closely associated with water and wetlands. Inferring free water dependence.,Wilman et al. 2014 Ecology; IUCN Redlist 2018; Gingerich 2003 Paleobiology; Pacini and Harper 2008 Tropical stream ecology,,,,,,,,
Tapirus indicus,Malay Tapir,Extant,Mammalia,Perissodactyla,Tapiridae,High,Inferred from habitat affinities,2,Closely associated with water and wetlands. Inferring free water dependence.,Wilman et al. 2014 Ecology; IUCN Redlist 2018; Gingerich 2003 Paleobiology; Pacini and Harper 2008 Tropical stream ecology,,,,,,,,
Tapirus merriami,Merriam's Tapir,Extinct before 1500 CE,Mammalia,Perissodactyla,Tapiridae,High,Inferred from Genus; Inferred from habitat association,1,Closely associated with water and wetlands. Inferring free water dependence.,San Diego Zoo Fact Sheets,,,,,,,,
Tapirus pinchaque,Mountain Tapir,Extant,Mammalia,Perissodactyla,Tapiridae,,,,,,,,,,,,,
Tapirus rondoniensis,,Extinct before 1500 CE,Mammalia,Perissodactyla,Tapiridae,High,Inferred from Genus; Inferred from habitat association,1,"No empirical evidence, but given the aquatic tendencies of this genus, going to score as free water dependent.",NA,,,,,,,,
Tapirus terrestris,Lowland Tapir,Extant,Mammalia,Perissodactyla,Tapiridae,High,Inferred from habitat affinities,2,Closely associated with water and wetlands. Inferring free water dependence.,Wilman et al. 2014 Ecology; IUCN Redlist 2018; Gingerich 2003 Paleobiology; Pacini and Harper 2008 Tropical stream ecology,,,,,,,,
Tapirus veroensis,Vero Tapir; California Tapir,Extinct before 1500 CE,Mammalia,Perissodactyla,Tapiridae,High,Inferred from Genus; Inferred from habitat association,1,"No empirical evidence, but given the aquatic tendencies of this genus, going to score as free water dependent.",NA,,,,,,,,
Acratocnus odontrigonus,Puerto Rican Ground Sloth,Extinct before 1500 CE,Mammalia,Pilosa,Megalonychidae,,,,,,0,,0,,Functional morphology,1,"Pujos infers that these arboreal sloths were not adapted for digging, unlike other ground sloths.",Pujos et al. 2012 Journal of Mammalian Evolution
Acratocnus ye,,Extinct before 1500 CE,Mammalia,Pilosa,Megalonychidae,,,,,,0,,0,,Functional morphology,1,"Pujos infers that these arboreal sloths were not adapted for digging, unlike other ground sloths.",Pujos et al. 2012 Journal of Mammalian Evolution
Diabolotherium nordenskioldi,,Extinct before 1500 CE,Mammalia,Pilosa,Megalonychidae,,,,,,0,,0,,Functional morphology,1,Morphology indicates that this group was not adapted for digging or burrowing.,Pujos et al. 2012 Journal of Mammalian Evolution
Megalocnus rodens,,Extinct before 1500 CE,Mammalia,Pilosa,Megalonychidae,,,,,,0,,0,,Functional morphology,1,Morphology indicates that this group was not adapted for digging or burrowing.,Pujos et al. 2012 Journal of Mammalian Evolution
Megalocnus zile,,Extinct before 1500 CE,Mammalia,Pilosa,Megalonychidae,,,,,,0,,0,,Functional morphology,1,Morphology indicates that this group was not adapted for digging or burrowing.,Pujos et al. 2012 Journal of Mammalian Evolution
Megalonyx jeffersonii,Jefferson's Ground Sloth,Extinct before 1500 CE,Mammalia,Pilosa,Megalonychidae,,,,,,0,,0,,Functional morphology,1,Morphology indicates that this group was not adapted for digging or burrowing.,Pujos et al. 2012 Journal of Mammalian Evolution
Neocnus comes,,Extinct before 1500 CE,Mammalia,Pilosa,Megalonychidae,,,,,,0,,0,,Functional morphology,1,Morphology indicates that this group was not adapted for digging or burrowing.,Pujos et al. 2012 Journal of Mammalian Evolution
Neocnus dousman,,Extinct before 1500 CE,Mammalia,Pilosa,Megalonychidae,,,,,,0,,0,,Functional morphology,1,Morphology indicates that this group was not adapted for digging or burrowing.,Pujos et al. 2012 Journal of Mammalian Evolution
Parocnus browni,,Extinct before 1500 CE,Mammalia,Pilosa,Megalonychidae,,,,,,0,,0,,Functional morphology,1,Morphology indicates that this group was not adapted for digging or burrowing.,Pujos et al. 2012 Journal of Mammalian Evolution
Parocnus serus,,Extinct before 1500 CE,Mammalia,Pilosa,Megalonychidae,,,,,,0,,0,,Functional morphology,1,Morphology indicates that this group was not adapted for digging or burrowing.,Pujos et al. 2012 Journal of Mammalian Evolution
Eremotherium laurillardi,,Extinct before 1500 CE,Mammalia,Pilosa,Megatheriidae,,,,,,0,,0,,Functional morphology,1,Morphology indicates that this group was not adapted for digging or burrowing.,Pujos et al. 2012 Journal of Mammalian Evolution
Megatherium americanum,Giant Ground Sloth,Extinct before 1500 CE,Mammalia,Pilosa,Megatheriidae,,,,,,0,,0,,Functional morphology,1,Morphology indicates that this group was not adapted for digging or burrowing.,Pujos et al. 2012 Journal of Mammalian Evolution
Megatherium tarijense,,Extinct before 1500 CE,Mammalia,Pilosa,Megatheriidae,,,,,,0,,0,,Functional morphology,1,Morphology indicates that this group was not adapted for digging or burrowing.,Pujos et al. 2012 Journal of Mammalian Evolution
Catonyx cuvieri,,Extinct before 1500 CE,Mammalia,Pilosa,Mylodontidae,,,,,,1,,1,,Functional morphology,1,Morphology indicates that this group of sloths was adapted for digging and for burrowing.,Pujos et al. 2012 Journal of Mammalian Evolution
Glossotherium robustum,,Extinct before 1500 CE,Mammalia,Pilosa,Mylodontidae,,,,,,1,,1,,Functional morphology,1,Morphology indicates that this group of sloths was adapted for digging and for burrowing.,Pujos et al. 2012 Journal of Mammalian Evolution
Lestodon armatus,,Extinct before 1500 CE,Mammalia,Pilosa,Mylodontidae,,,,,,1,,1,,Functional morphology,1,"Morphology indicates that this group of sloths was adapted for digging and for burrowing.. This species is the best candidate for the large, extensive burrows of Brazil due to its size and digging ability",Pujos et al. 2012 Journal of Mammalian Evolution
Mylodon darwinii,Darwin's Ground Sloth,Extinct before 1500 CE,Mammalia,Pilosa,Mylodontidae,,,,,,1,,1,,Functional morphology,1,Morphology indicates that this group of sloths was adapted for digging and for burrowing.,Pujos et al. 2012 Journal of Mammalian Evolution
Paramylodon harlani,Harlan's Ground Sloth,Extinct before 1500 CE,Mammalia,Pilosa,Mylodontidae,,,,,,1,,1,,Functional morphology,1,Morphology indicates that this group of sloths was adapted for digging and for burrowing.,Pujos et al. 2012 Journal of Mammalian Evolution
Scelidodon chiliensis,,Extinct before 1500 CE,Mammalia,Pilosa,Mylodontidae,,,,,,1,,1,,Inferred from sister genus Valgipes,1,Morphology indicates that this group of sloths was adapted for digging and for burrowing.,Pujos et al. 2012 Journal of Mammalian Evolution
Scelidotherium leptocephalum,,Extinct before 1500 CE,Mammalia,Pilosa,Mylodontidae,,,,,,1,,1,,Functional morphology,1,Morphology indicates that this group of sloths was adapted for digging and for burrowing.,Pujos et al. 2012 Journal of Mammalian Evolution
Valgipes bucklandi,,Extinct before 1500 CE,Mammalia,Pilosa,Mylodontidae,,,,,,1,,1,1,Functional morphology,1,Morphology indicates that this group of sloths was adapted for digging and for burrowing.,Pereira et al. 2013 Journal of South American Earth Sciences
Nothrotheriops shastensis,Shasta Ground Sloth,Extinct before 1500 CE,Mammalia,Pilosa,Nothrotheridae,,,,,,0,,0,,Functional morphology,1,Morphology indicates that this group was not adapted for digging or burrowing.,Pujos et al. 2012 Journal of Mammalian Evolution
Nothrotherium maquinense,,Extinct before 1500 CE,Mammalia,Pilosa,Nothrotheridae,,,,,,0,,0,,Functional morphology,1,Morphology indicates that this group was not adapted for digging or burrowing.,Pujos et al. 2012 Journal of Mammalian Evolution
Archaeolemur edwardsi,,Extinct before 1500 CE,Mammalia,Primates,Archaeolemuridae,,,,,,,,,,,,,
Archaeolemur majori,,Extinct before 1500 CE,Mammalia,Primates,Archaeolemuridae,,,,,,,,,,,,,
Hadropithecus stenognathus,,Extinct before 1500 CE,Mammalia,Primates,Archaeolemuridae,,,,,,,,,,,,,
Brachyteles arachnoides,Southern Muriqui,Extant,Mammalia,Primates,Atelidae,,,,,,,,,,,,,
Caipora bambuiorum,Caipora,Extinct before 1500 CE,Mammalia,Primates,Atelidae,,,,,,,,,,,,,
Protopithecus brasiliensis,Protopithecus,Extinct before 1500 CE,Mammalia,Primates,Atelidae,,,,,,,,,,,,,
Colobus angolensis,Angolan Colobus,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Colobus guereza,Guereza,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Colobus satanas,Black Colobus,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Colobus vellerosus,White-thighed Colobus,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Macaca assamensis,Assam Macaque,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Macaca fuscata,Japanese Macaque,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Macaca munzala,Arunachal Macaque,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Macaca sylvanus,Barbary Macaque,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Macaca thibetana,Tibetan Macaque,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Mandrillus leucophaeus,Drill,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Mandrillus sphinx,Mandrill,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Papio anubis,Olive Baboon,Extant,Mammalia,Primates,Cercopithecidae,High,Observed water usage,3,All Papio species require surface water.,Wilson and Mittermeier 2013 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa,,,,,,,,
Papio cynocephalus,Yellow Baboon,Extant,Mammalia,Primates,Cercopithecidae,High,Observed water usage,3,All Papio species require surface water.,Wilson and Mittermeier 2013 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa,,,,,,,,
Papio hamadryas,Hamadryas Baboon,Extant,Mammalia,Primates,Cercopithecidae,High,Observed water usage,3,All Papio species require surface water.,Wilson and Mittermeier 2013 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa,,,,,,,,
Papio kindae,Kinda Baboon,Extant,Mammalia,Primates,Cercopithecidae,High,Observed water usage,3,All Papio species require surface water.,Wilson and Mittermeier 2013 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa,,,,,,,,
Papio papio,Guinea Baboon,Extant,Mammalia,Primates,Cercopithecidae,High,Observed water usage,3,All Papio species require surface water.,Wilson and Mittermeier 2013 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa,,,,,,,,
Papio ursinus,Chacma Baboon,Extant,Mammalia,Primates,Cercopithecidae,High,Observed water usage,3,All Papio species require surface water.,Wilson and Mittermeier 2013 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa,1,1,,,Observed digging,3,"Chacma baboons elaborate wells dug initially by gemsbok in West African deserts. They have a hard time digging in dry sand, but as soon as wells reach water table and sand becomes moist, there are adept as scooping sand out with their hands.",Hamilton et al. 1977 Madoqua
Piliocolobus bouvieri,Bouvier's Red Colobus,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Piliocolobus epieni,Niger Delta Red Colobus,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Piliocolobus oustaleti,Oustalet's Red Colobus,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Piliocolobus pennantii,Pennant's Red Colobus,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Rhinopithecus brelichi,Grey Snub-nosed Monkey,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Rhinopithecus roxellana,Golden Snub-nosed Monkey,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Rhinopithecus strykeri,Myanmar Snub-nosed Monkey,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Rungwecebus kipunji,Kipunji,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Semnopithecus ajax,Kashmir Gray Langur,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Semnopithecus dussumieri,Southern Plains Gray Langur,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Semnopithecus entellus,Northern Plains Gray Langur,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Semnopithecus hector,Tarai Gray Langur,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Semnopithecus priam,Tufted Gray Langur,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Semnopithecus schistaceus,Nepal Sacred Langur,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Theropithecus gelada,Gelada,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Trachypithecus johnii,Nilgiri Langur,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Trachypithecus pileatus,Capped Langur,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Trachypithecus shortridgei,Shortridge's Langur,Extant,Mammalia,Primates,Cercopithecidae,,,,,,,,,,,,,
Daubentonia robustus,Giant aye-aye,Extinct before 1500 CE,Mammalia,Primates,Daubentoniidae,,,,,,,,,,,,,
Gorilla beringei,Eastern Gorilla,Extant,Mammalia,Primates,Hominidae,,,,,,,,,,,,,
Gorilla gorilla,Western Gorilla,Extant,Mammalia,Primates,Hominidae,,,,,,,,,,,,,
Pan paniscus,Bonobo,Extant,Mammalia,Primates,Hominidae,,,,,,,,,,,,,
Pan troglodytes,Chimpanzee,Extant,Mammalia,Primates,Hominidae,,,,,,,,,,,,,
Pongo abelii,Sumatran Orangutan,Extant,Mammalia,Primates,Hominidae,,,,,,,,,,,,,
Pongo pygmaeus,Bornean Orangutan,Extant,Mammalia,Primates,Hominidae,,,,,,,,,,,,,
Symphalangus syndactylus,Siamang,Extant,Mammalia,Primates,Hylobatidae,,,,,,,,,,,,,
Pachylemur insignis,Giant Ruffed Lemur,Extinct before 1500 CE,Mammalia,Primates,Lemuridae,,,,,,,,,,,,,
Pachylemur jullyi,Giant Ruffed Lemur,Extinct before 1500 CE,Mammalia,Primates,Lemuridae,,,,,,,,,,,,,
Megaladapis edwardsi,Koala Lemur,Extinct before 1500 CE,Mammalia,Primates,Megaladapidae,,,,,,,,,,,,,
Megaladapis grandidieri,Koala Lemur,Extinct before 1500 CE,Mammalia,Primates,Megaladapidae,,,,,,,,,,,,,
Megaladapis madagascariensis,Koala Lemur,Extinct before 1500 CE,Mammalia,Primates,Megaladapidae,,,,,,,,,,,,,
Archaeoindris fontoynonti,Sloth Lemur,Extinct before 1500 CE,Mammalia,Primates,Palaeopropithecidae,,,,,,,,,,,,,
Babakotia radofilai,Sloth Lemur,Extinct before 1500 CE,Mammalia,Primates,Palaeopropithecidae,,,,,,,,,,,,,
Mesopropithecus globiceps,Sloth Lemur,Extinct before 1500 CE,Mammalia,Primates,Palaeopropithecidae,,,,,,,,,,,,,
Mesopropithecus pithecoides,Sloth Lemur,Extinct before 1500 CE,Mammalia,Primates,Palaeopropithecidae,,,,,,,,,,,,,
Palaeopropithecus ingens,Large Sloth Lemur,Extinct after 1500 CE,Mammalia,Primates,Palaeopropithecidae,,,,,,,,,,,,,
Palaeopropithecus maximus,Sloth Lemur,Extinct before 1500 CE,Mammalia,Primates,Palaeopropithecidae,,,,,,,,,,,,,
Elephas antiquus,Straight-tusked Elephant,Extinct before 1500 CE,Mammalia,Proboscidea,Elephantidae,,,,,,,,,,,,,
Elephas cypriotes,Cyprus Dwarf Elephant,Extinct before 1500 CE,Mammalia,Proboscidea,Elephantidae,,,,,,,,,,,,,
Elephas iolensis,,Extinct before 1500 CE,Mammalia,Proboscidea,Elephantidae,,,,,,,,,,,,,
Elephas maximus,Asian Elephant,Extant,Mammalia,Proboscidea,Elephantidae,High,Observed foraging,3,"African and Asian elephants are water dependent, with water availability structuring their movements and habitat usage.",Dunkin et al. 2013 The Journal of Experimental Biology,1,1,,,Observed digging,3,Asian elephants will dig for roots and also to reach ground water. The depths they are willing to dig are unclear.,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; L. Baker personal communication; A.A. Sha personal communication
Elephas mnaidriensis,,Extinct before 1500 CE,Mammalia,Proboscidea,Elephantidae,,,,,,,,,,,,,
Elephas namadicus,Asian Straight-tusked Elephant,Extinct before 1500 CE,Mammalia,Proboscidea,Elephantidae,,,,,,,,,,,,,
Elephas naumanii,Naumann's Elephant,Extinct before 1500 CE,Mammalia,Proboscidea,Elephantidae,,,,,,,,,,,,,
Elephas tiliensis,Tilos Dwarf Elephant,Extinct before 1500 CE,Mammalia,Proboscidea,Elephantidae,,,,,,,,,,,,,
Loxodonta africana,African Elephant,Extant,Mammalia,Proboscidea,Elephantidae,High,Observed water usage,3,"African and Asian elephants are water dependent, with water availability structuring their movements and habitat usage.",Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Dunkin et al. 2013 The Journal of Experimental Biology,1,1,,,Observed digging,3,"African elephants dig for roots and to access groundwater, digging perhaps as deep as 2-3 m. ",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Payne 1999 Silent Thunder; Haynes 2012 Geomorphology
Mammuthus columbi,Columbian Mammoth,Extinct before 1500 CE,Mammalia,Proboscidea,Elephantidae,,,,,,,,,,,,,
Mammuthus exilis,Pygmy Mammoth,Extinct before 1500 CE,Mammalia,Proboscidea,Elephantidae,,,,,,,,,,,,,
Mammuthus primigenius,Woolly Mammoth,Extinct before 1500 CE,Mammalia,Proboscidea,Elephantidae,,,,,,,,,,,,,
Cuvieronius hyodon,Gomphothere,Extinct before 1500 CE,Mammalia,Proboscidea,Gomphotheriidae,,,,,,,,,,,,,
Notiomastodon platensis,Gomphothere,Extinct before 1500 CE,Mammalia,Proboscidea,Gomphotheriidae,,,,,,,,,,,,,
Mammut americanum,American Mastodon,Extinct before 1500 CE,Mammalia,Proboscidea,Mammutidae,,,,,,,,,,,,,
Stegodon florensis,Flores Stegodont,Extinct before 1500 CE,Mammalia,Proboscidea,Stegodontidae,,,,,,,,,,,,,
Stegodon orientalis,,Extinct before 1500 CE,Mammalia,Proboscidea,Stegodontidae,,,,,,,,,,,,,
Stegodon trigonocephalus,,Extinct before 1500 CE,Mammalia,Proboscidea,Stegodontidae,,,,,,,,,,,,,
Castor canadensis,American Beaver,Extant,Mammalia,Rodentia,Castoridae,High,Inferred from habitat affinities,2,"Given this species aquatic habitat affinities, we are inferring water dependence.",Wilson and Mittermeier 2016 Handbook of the Mammals of the World; Milligan and Humphries 2010 Oikos; Wilman et al. 2014 Ecology,,,,,,,,
Castor fiber,Eurasian Beaver,Extant,Mammalia,Rodentia,Castoridae,High,Inferred from habitat affinities,2,"Given this species aquatic habitat affinities, we are inferring water dependence.",Wilson and Mittermeier 2016 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,,,,,,,,
Castoroides ohioensis,Giant Beaver,Extinct before 1500 CE,Mammalia,Rodentia,Castoridae,High,Inferred from habitat affinities,2,"Given this species aquatic habitat affinities, we are inferring water dependence.",Rybczynski 2007 Journal of Mammalian Evolution,,,,,,,,
Hydrochoerus hydrochaeris,Capybara,Extant,Mammalia,Rodentia,Caviidae,High,Inferred from habitat affinity,2,Capybaras are almost certainly free water dependent given their semi-aquatic habits.,Wilson and Mittermeier 2016 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,,,,,,,,
Hydrochoerus isthmius,Lesser Capybara,Extant,Mammalia,Rodentia,Caviidae,High,Inferred from habitat affinity,2,Capybaras are almost certainly free water dependent given their semi-aquatic habits.,Wilson and Mittermeier 2016 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,,,,,,,,
Neochoerus aesopi,Giant Capybara,Extinct before 1500 CE,Mammalia,Rodentia,Caviidae,High,Inferred from habitat affinities,2,"Given this species' almost certain aquatic habitat affinities, we are going to infer free water dependence.",MacFadden and Shockey 1997 Paleobiology; Perez et al. 2017 Journal of Mammalian Evolution,,,,,,,,
Dinomys branickii,Pacarana,Extant,Mammalia,Rodentia,Dinomyidae,,,,,,,,,,,,,
Amblyrhiza inundata,Blunt-toothed Giant Hutia,Extinct before 1500 CE,Mammalia,Rodentia,Echimyidae,,,,,,,,,,,,,
Hystrix africaeaustralis,Cape Porcupine,Extant,Mammalia,Rodentia,Hystricidae,,,,,,,,,,,,,
Hystrix cristata,Crested Porcupine,Extant,Mammalia,Rodentia,Hystricidae,,,,,,,,,,,,,
Hystrix indica,Indian Crested Porcupine,Extant,Mammalia,Rodentia,Hystricidae,,,,,,,,,,,,,
Hystrix javanica,Sunda Porcupine,Extant,Mammalia,Rodentia,Hystricidae,,,,,,,,,,,,,
Hystrix refossa,,Extinct before 1500 CE,Mammalia,Rodentia,Hystricidae,,,,,,,,,,,,,
